,Sem.,Jour,Date,Heure,Domicile,xG,Score,xG.1,Extérieur,Affluence,Tribune,Arbitre,Rapport de match,Notes
68,7,Mer,2019-09-25,19:00,Toulouse,0.3,0–2,1.6,Angers,10177,Stadium Municipal,Olivier Thual,Rapport de match,
69,7,Mer,2019-09-25,19:00,Brest,0.7,2–2,1.2,Lyon,14472,Stade Francis-Le Blé,Amaury Delerue,Rapport de match,
70,7,Mer,2019-09-25,19:00,Nantes,1.4,1–0,1.1,Rennes,26952,Stade de la Beaujoire - Louis Fonteneau,Antony Gautier,Rapport de match,
71,7,Mer,2019-09-25,19:00,Amiens,1.5,1–3,0.7,Bordeaux,11367,Stade Crédit Agricole la Licorne,Willy Delajod,Rapport de match,
72,7,Mer,2019-09-25,19:00,Saint-Étienne,1.3,0–1,0.8,Metz,19712,Stade Geoffroy-Guichard,Eric Wattellier,Rapport de match,
73,7,Mer,2019-09-25,19:00,Montpellier,0.6,1–0,0.8,Nîmes,16445,Stade de la Mosson,Benoît Bastien,Rapport de match,
74,7,Mer,2019-09-25,19:00,Lille,2.8,2–0,0.3,Strasbourg,30103,Stade Pierre-Mauroy,Johan Hamel,Rapport de match,
75,7,Mer,2019-09-25,21:00,Paris S-G,0.6,0–2,1.0,Reims,47376,Parc des Princes,François Letexier,Rapport de match,
76,,,,,,,,,,,,,,
77,8,Sam,2019-09-28,13:30,Lyon,1.1,0–1,0.6,Nantes,46647,Groupama Stadium,Benoît Millot,Rapport de match,
78,8,Sam,2019-09-28,17:30,Bordeaux,0.1,0–1,2.8,Paris S-G,39215,Stade Matmut-Atlantique,Jérôme Brisard,Rapport de match,
79,8,Sam,2019-09-28,20:00,Reims,1.2,1–2,1.8,Dijon,11033,Stade Auguste-Delaune II,Jérémie Pignard,Rapport de match,
80,8,Sam,2019-09-28,20:00,Metz,1.4,2–2,1.4,Toulouse,15054,Stade Saint-Symphorien,Florent Batta,Rapport de match,
81,8,Sam,2019-09-28,20:00,Nice,1.2,1–1,1.4,Lille,18295,Stade de Nice,Clément Turpin,Rapport de match,
82,8,Sam,2019-09-28,20:00,Monaco,3.6,4–1,0.5,Brest,4576,Stade Louis II.,Ruddy Buquet,Rapport de match,
83,8,Sam,2019-09-28,20:00,Angers,1.4,1–1,1.2,Amiens,9331,Stade Raymond Kopa,Karim Abed,Rapport de match,
84,8,Dim,2019-09-29,15:00,Strasbourg,0.4,1–0,1.4,Montpellier,25010,Stade de la Meinau,Hakim Ben El Hadj Salem,Rapport de match,
85,8,Dim,2019-09-29,17:00,Nîmes,1.8,0–1,0.7,Saint-Étienne,13802,Stade des Costières,Thomas Léonard,Rapport de match,
86,8,Dim,2019-09-29,21:00,Marseille,0.8,1–1,0.9,Rennes,44281,Orange Vélodrome,Franck Schneider,Rapport de match,
87,,,,,,,,,,,,,,
88,9,Ven,2019-10-04,20:45,Amiens,2.9,3–1,0.5,Marseille,12737,Stade Crédit Agricole la Licorne,Johan Hamel,Rapport de match,
